dim,variance,r2
1,0.1723256154287669,0.1723256154287669
2,0.06327571176996549,0.06327571176996549
3,0.33115925005928026,0.33115925005928026
4,0.19866211953581148,0.19866211953581148
5,0.3457946217626119,0.3457946217626119
6,0.41406693722541443,0.41406693722541443
7,0.40110039078787696,0.40110039078787696
8,0.4201487834721078,0.4201487834721078
9,0.4549846540468141,0.4549846540468141
10,0.4228132434206354,0.4228132434206354
11,0.4014776669093748,0.4014776669093748
12,0.44206435476866146,0.44206435476866146
13,0.44253649179580345,0.44253649179580345
14,0.4431108790969036,0.4431108790969036
15,0.4590266486927549,0.4590266486927549
16,0.4540977706483392,0.4540977706483392
17,0.46620498871602567,0.46620498871602567
18,0.47051454916225566,0.47051454916225566
19,0.47723705182457155,0.47723705182457155
20,0.4904678157259993,0.4904678157259993
21,0.5007690964263463,0.5007690964263463
22,0.4944163540780868,0.4944163540780868
23,0.5034542238731647,0.5034542238731647
24,0.49957816216978623,0.49957816216978623
25,0.503423261711955,0.503423261711955
26,0.5004285310186725,0.5004285310186725
27,0.5081188771298906,0.5081188771298906
28,0.5065343749512284,0.5065343749512284
29,0.5108330927273863,0.5108330927273863
30,0.5133478883327376,0.5133478883327376
31,0.5142603792439996,0.5142603792439996
32,0.5154914792270419,0.5154914792270419
33,0.5246367476529419,0.5246367476529419
34,0.5167412906807403,0.5167412906807403
35,0.5180798586248635,0.5180798586248635
36,0.5278658674592265,0.5278658674592265
37,0.5306950228476603,0.5306950228476603
38,0.5367992145209051,0.5367992145209051
39,0.5314051402688444,0.5314051402688444
40,0.540411400770757,0.540411400770757
41,0.540832825917274,0.540832825917274
42,0.5402370845098627,0.5402370845098627
43,0.5443603790537144,0.5443603790537144
44,0.5368910122293437,0.5368910122293437
45,0.5557909690911877,0.5557909690911877
46,0.5439840814690922,0.5439840814690922
47,0.5363091899725895,0.5363091899725895
48,0.5486530362012936,0.5486530362012936
49,0.5393077222648426,0.5393077222648426
50,0.5473408375788034,0.5473408375788034
51,0.5568189957264891,0.5568189957264891
52,0.5685120176194298,0.5685120176194298
53,0.5526305165912269,0.5526305165912269
54,0.557691199416236,0.557691199416236
55,0.5658462686567072,0.5658462686567072
56,0.5638726874757847,0.5638726874757847
57,0.562758217373731,0.562758217373731
58,0.5555610794443437,0.5555610794443437
59,0.5673364845592817,0.5673364845592817
60,0.5672609195191732,0.5672609195191732
61,0.5694699676667341,0.5694699676667341
62,0.5694290653086884,0.5694290653086884
63,0.5697454129863182,0.5697454129863182
64,0.5698366320476349,0.5698366320476349
65,0.5700253683633962,0.5700253683633962
66,0.5715887616961952,0.5715887616961952
67,0.5704226457125541,0.5704226457125541
68,0.5706345369116763,0.5706345369116763
69,0.5755426559576298,0.5755426559576298
70,0.5723496464613552,0.5723496464613552
71,0.5737187240350952,0.5737187240350952
72,0.5838674791362706,0.5838674791362706
73,0.5809186525249403,0.5809186525249403
74,0.5802191995740309,0.5802191995740309
75,0.5824508825999164,0.5824508825999164
76,0.5799750795584042,0.5799750795584042
77,0.5848804243113688,0.5848804243113688
78,0.5809292695058763,0.5809292695058763
79,0.5884698600455459,0.5884698600455459
80,0.588479509626025,0.588479509626025
81,0.5883474877740429,0.5883474877740429
82,0.5902261774993884,0.5902261774993884
83,0.5902924490998435,0.5902924490998435
84,0.5913645364939073,0.5913645364939073
85,0.5925831890754757,0.5925831890754757
86,0.5924095209131357,0.5924095209131357
87,0.5903722778304352,0.5903722778304352
88,0.5904342702873305,0.5904342702873305
89,0.5936907341294503,0.5936907341294503
90,0.5998722806723913,0.5998722806723913
91,0.5956682142602274,0.5956682142602274
92,0.5994540404785189,0.5994540404785189
93,0.5958649006827035,0.5958649006827035
94,0.5960387323830738,0.5960387323830738
95,0.6032158994838412,0.6032158994838412
96,0.6019370014343164,0.6019370014343164
97,0.5995406244077602,0.5995406244077602
98,0.6029357604258987,0.6029357604258987
99,0.6020193037280321,0.6020193037280321
100,0.5925643847193549,0.5925643847193549
101,0.6018309302142245,0.6018309302142245
102,0.6025552980836311,0.6025552980836311
103,0.6027748958325982,0.6027748958325982
104,0.6104885850758017,0.6104885850758017
105,0.6103258626162533,0.6103258626162533
106,0.6077919366330597,0.6077919366330597
107,0.611787300365344,0.611787300365344
108,0.6094775921578615,0.6094775921578615
109,0.6117307791917561,0.6117307791917561
110,0.6059538974600236,0.6059538974600236
111,0.605658667456227,0.605658667456227
112,0.5974318647648733,0.5974318647648733
113,0.6017785174538476,0.6017785174538476
114,0.6010135068083979,0.6010135068083979
115,0.6113578267829123,0.6113578267829123
116,0.6132161564438525,0.6132161564438525
117,0.597266655608824,0.597266655608824
118,0.6122651133083361,0.6122651133083361
119,0.6003282443227429,0.6003282443227429
120,0.6148971637645859,0.6148971637645859
121,0.6181229404173274,0.6181229404173274
122,0.6182348974464456,0.6182348974464456
123,0.6170309766026674,0.6170309766026674
124,0.6210964476874048,0.6210964476874048
125,0.6192554226529308,0.6192554226529308
126,0.6161815368903205,0.6161815368903205
127,0.6225784711269163,0.6225784711269163
128,0.6260148771730396,0.6260148771730396
129,0.617644455209248,0.617644455209248
130,0.6186814603826722,0.6186814603826722
131,0.6241145369528822,0.6241145369528822
132,0.6284060709818289,0.6284060709818289
133,0.6213753693847761,0.6213753693847761
134,0.6198571040860634,0.6198571040860634
135,0.6285260624111826,0.6285260624111826
136,0.628628304517681,0.628628304517681
137,0.6250737462159237,0.6250737462159237
138,0.6221787460442909,0.6221787460442909
139,0.6325975091197854,0.6325975091197854
140,0.6290771795017045,0.6290771795017045
141,0.6258146325771463,0.6258146325771463
142,0.6300562625218731,0.6300562625218731
143,0.6288551171209944,0.6288551171209944
144,0.631285608087655,0.631285608087655
145,0.6331414715740094,0.6331414715740094
146,0.6292691189221733,0.6292691189221733
147,0.6304200291651693,0.6304200291651693
148,0.6265272871595273,0.6265272871595273
149,0.6322483935688856,0.6322483935688856
150,0.6341034635355263,0.6341034635355263
151,0.6379029374443761,0.6379029374443761
152,0.6337588883457426,0.6337588883457426
153,0.6322813430689063,0.6322813430689063
154,0.6393658254742085,0.6393658254742085
155,0.6342895801861768,0.6342895801861768
156,0.6398335820346283,0.6398335820346283
157,0.6365175103791252,0.6365175103791252
158,0.641639750213467,0.641639750213467
159,0.6348628012500298,0.6348628012500298
160,0.6364729823726315,0.6364729823726315
161,0.6357430804262129,0.6357430804262129
162,0.638237463443633,0.638237463443633
163,0.6350601880627815,0.6350601880627815
164,0.6392038064383757,0.6392038064383757
165,0.6348906000563208,0.6348906000563208
166,0.6425435480233705,0.6425435480233705
167,0.6385894242934753,0.6385894242934753
168,0.638430314948808,0.638430314948808
169,0.6389503101651887,0.6389503101651887
170,0.6428805699800995,0.6428805699800995
171,0.6416140773738315,0.6416140773738315
172,0.643318029153223,0.643318029153223
173,0.645122340587056,0.645122340587056
174,0.6477738622557305,0.6477738622557305
175,0.6410967713185527,0.6410967713185527
176,0.6457549797569418,0.6457549797569418
177,0.643826056858622,0.643826056858622
178,0.6414513616475578,0.6414513616475578
179,0.6451400617763934,0.6451400617763934
180,0.6478455605239621,0.6478455605239621
181,0.6465641012687695,0.6465641012687695
182,0.6468395889636445,0.6468395889636445
183,0.6433426868253131,0.6433426868253131
184,0.6500963433193029,0.6500963433193029
185,0.6495485178091072,0.6495485178091072
186,0.6469207159357783,0.6469207159357783
187,0.6494813706852333,0.6494813706852333
188,0.6480821120780709,0.6480821120780709
189,0.6505250918304627,0.6505250918304627
190,0.6504171126829108,0.6504171126829108
